yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
AtlasMunicipalFile,85f9ee24-85a7-445a-b867-bf4d6c577ac6,/tmp/tmpx0bmlfyz/AtlasMunicipalFile.xml,"{""uuid"": ""85f9ee24-85a7-445a-b867-bf4d6c577ac6""}"
PlanGeneralParis_1866,f905eea3-50d4-41bd-b1cc-993ae7fa9787,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866.xml,"{""uuid"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""associatedResource"": [{""value"": ""85f9ee24-85a7-445a-b867-bf4d6c577ac6"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_01,aaaab0ae-8d9d-4a1e-a987-da706f9a9231,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_01.xml,"{""uuid"": ""aaaab0ae-8d9d-4a1e-a987-da706f9a9231"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_02,421e7a80-2220-4020-8645-ca2b9aceaa7e,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_02.xml,"{""uuid"": ""421e7a80-2220-4020-8645-ca2b9aceaa7e"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_03,aaa06a42-f733-4bf0-8d44-8ee42d3b1a21,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_03.xml,"{""uuid"": ""aaa06a42-f733-4bf0-8d44-8ee42d3b1a21"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_04,40bc5bfa-4404-4c82-89be-dbe5284ae0f1,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_04.xml,"{""uuid"": ""40bc5bfa-4404-4c82-89be-dbe5284ae0f1"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_05,c7fca534-1a71-4320-9130-07926fddc4fc,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_05.xml,"{""uuid"": ""c7fca534-1a71-4320-9130-07926fddc4fc"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_06,a0e6882b-d2e3-4811-a7f7-00975e21f428,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_06.xml,"{""uuid"": ""a0e6882b-d2e3-4811-a7f7-00975e21f428"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_07,458dd158-8c6c-47c4-8411-07249f1d67c4,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_07.xml,"{""uuid"": ""458dd158-8c6c-47c4-8411-07249f1d67c4"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_08,ac6642b8-56cd-47b3-b41e-298918a2ca89,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_08.xml,"{""uuid"": ""ac6642b8-56cd-47b3-b41e-298918a2ca89"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_09,e386bd4c-13ae-46b3-9d8f-4ebbc2e7991e,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_09.xml,"{""uuid"": ""e386bd4c-13ae-46b3-9d8f-4ebbc2e7991e"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_10,1745a913-f00d-4522-83c1-7e6448a11452,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_10.xml,"{""uuid"": ""1745a913-f00d-4522-83c1-7e6448a11452"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_11,21b80f67-7538-4706-ac80-9199e7558749,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_11.xml,"{""uuid"": ""21b80f67-7538-4706-ac80-9199e7558749"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
PlanGeneralParis_1866_12,5602e2e2-57be-4e89-b5d7-f6d95580f42d,/tmp/tmpx0bmlfyz/PlanGeneralParis_1866_12.xml,"{""uuid"": ""5602e2e2-57be-4e89-b5d7-f6d95580f42d"", ""associatedResource"": [{""value"": ""f905eea3-50d4-41bd-b1cc-993ae7fa9787"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
