Code_fichier,code_ouvrage,collection_almanach,Liste_annee,liste_type,liste_code,presence_liste_adr,selection_trait_soduco,selection_trait_soduco_iiif,liste_nom_original,liste_nb_colonnes,npage_pdf_d,npage_pdf_f,npage_porig_d,npage_porig_f,nbvuespdf,nl,verif_erreur_referencement,lien_ouvrage_en_ligne,lien_ouvrage_prefixe_pageweb_vue,diff_vuepdf_vueark,Notes_listes,serie_almanach,Note_tableau_overleaf_ouvrage,titre_ouvrage,serie_ordre,LISTES_V1,LISTES_V230728,fiche_identite_liste,list_name,complete_list_name,url_output,url_mirador
Favre_et_Duchesne_1798,Favre_et_Duchesne_1798,Favre_et_Duchesne,1798,ListProfs,ListProfs_favre,oui,1,1.0,Almanach du commerce de Paris.,1,26,473,[1],448,448,4,,https://gallica.bnf.fr/ark:/12148/bpt6k62929887,/f,-2.0,,Favre_et_Duchesne,4,"Almanach du commerce et de toutes les adresses de la ville de Paris, pour l'an VII",10801:Favre_et_Duchesne,1.0,1,"Favre_et_Duchesne_1798, ListProfs (vues 26-473, code: ListProfs_favre), cf: https://gallica.bnf.fr/ark:/12148/bpt6k62929887/f24",ListProfs-p1,Favre_et_Duchesne_1798_ex1_ListProfs-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Favre_et_Duchesne_1798,and(page.gte.0026,page.lte.0473))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/Favre_et_Duchesne/Favre_et_Duchesne/Favre_et_Duchesne_1798/ListProfs/part_0/manifest.json
Favre_et_Duchesne_1798,Favre_et_Duchesne_1798,Favre_et_Duchesne,1798,ListProfs,ListProfs_favre,oui,1,1.0,[Almanach du commerce de Paris (suite). Aubergistes …Vitriers],1,610,697,137,224,88,13,,https://gallica.bnf.fr/ark:/12148/bpt6k62929887,/f,-2.0,,Favre_et_Duchesne,4,"Almanach du commerce et de toutes les adresses de la ville de Paris, pour l'an VII",10801:Favre_et_Duchesne,1.0,1,"Favre_et_Duchesne_1798, ListProfs (vues 610-697, code: ListProfs_favre), cf: https://gallica.bnf.fr/ark:/12148/bpt6k62929887/f608",ListProfs-p2,Favre_et_Duchesne_1798_ex1_ListProfs-p2,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Favre_et_Duchesne_1798,and(page.gte.0610,page.lte.0697))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/Favre_et_Duchesne/Favre_et_Duchesne/Favre_et_Duchesne_1798/ListProfs/part_1/manifest.json
Favre_et_Duchesne_1798,Favre_et_Duchesne_1798,Favre_et_Duchesne,1798,ListProfs,ListProfs_favre,oui,1,1.0,[Almanach du commerce de Paris (suite). Peintres (Artistes)].,1,698,702,225,229,5,14,,https://gallica.bnf.fr/ark:/12148/bpt6k62929887,/f,-2.0,,Favre_et_Duchesne,4,"Almanach du commerce et de toutes les adresses de la ville de Paris, pour l'an VII",10801:Favre_et_Duchesne,1.0,1,"Favre_et_Duchesne_1798, ListProfs (vues 698-702, code: ListProfs_favre), cf: https://gallica.bnf.fr/ark:/12148/bpt6k62929887/f696",ListProfs-p3,Favre_et_Duchesne_1798_ex1_ListProfs-p3,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Favre_et_Duchesne_1798,and(page.gte.0698,page.lte.0702))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/Favre_et_Duchesne/Favre_et_Duchesne/Favre_et_Duchesne_1798/ListProfs/part_2/manifest.json
Favre_et_Duchesne_1799,Favre_et_Duchesne_1799,Favre_et_Duchesne,1799,ListProfs,ListProfs_favre2,oui,1,,[Liste par professions],2,354,375,333,354,22,34,,https://books.google.fr/books?id=GxYPAAAAQAAJ,&pg=PT,-353.0,,Favre_et_Duchesne,1,"Almanach ou dictionnaire général du commerce, des sciences et arts et d'industrie Française pour l'an VIII",10801:Favre_et_Duchesne,2.0,1,"Favre_et_Duchesne_1799, ListProfs (vues 354-375, code: ListProfs_favre2), cf: https://books.google.fr/books?id=GxYPAAAAQAAJ&pg=PT1",ListProfs-p1,Favre_et_Duchesne_1799_ex1_ListProfs-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Favre_et_Duchesne_1799,and(page.gte.0354,page.lte.0375))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/Favre_et_Duchesne/Favre_et_Duchesne/Favre_et_Duchesne_1799/ListProfs/part_0/manifest.json
Duverneuil_et_La_Tynna_1799,Duverneuil_et_La_Tynna_1799,AlmComm,1799,ListProfs,ListProfs_tynna,oui,1,1.0,"Almanach du commerce de Paris, pour l'An VIII.",1,131,462,[1),332,332,38,,https://gallica.bnf.fr/ark:/12148/bpt6k124551d,/f,-2.0,,Duverneuil_et_La_Tynna,3,"Almanach du commerce de Paris, pour l'an VIII de la République française",10902:Duverneuil_et_La_Tynna,1.0,1,"Duverneuil_et_La_Tynna_1799, ListProfs (vues 131-462, code: ListProfs_tynna), cf: https://gallica.bnf.fr/ark:/12148/bpt6k124551d/f129",ListProfs-p1,Duverneuil_et_La_Tynna_1799_ex1_ListProfs-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Duverneuil_et_La_Tynna_1799,and(page.gte.0131,page.lte.0462))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/AlmComm/Duverneuil_et_La_Tynna/Duverneuil_et_La_Tynna_1799/ListProfs/part_0/manifest.json
Duverneuil_et_La_Tynna_1799,Duverneuil_et_La_Tynna_1799,AlmComm,1799,ListNoms,ListNoms_tynna_noncomm,oui,1,1.0,Adresses particulières de citoyens non commerçans.,1,463,525,[333],395,63,39,,https://gallica.bnf.fr/ark:/12148/bpt6k124551d,/f,-2.0,,Duverneuil_et_La_Tynna,3,"Almanach du commerce de Paris, pour l'an VIII de la République française",10902:Duverneuil_et_La_Tynna,1.0,1,"Duverneuil_et_La_Tynna_1799, ListNoms (vues 463-525, code: ListNoms_tynna_noncomm), cf: https://gallica.bnf.fr/ark:/12148/bpt6k124551d/f461",ListNoms-p1,Duverneuil_et_La_Tynna_1799_ex1_ListNoms-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Duverneuil_et_La_Tynna_1799,and(page.gte.0463,page.lte.0525))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/AlmComm/Duverneuil_et_La_Tynna/Duverneuil_et_La_Tynna_1799/ListNoms/part_0/manifest.json
Duverneuil_et_La_Tynna_1800,Duverneuil_et_La_Tynna_1800,AlmComm,1800,ListProfs,ListProfs_tynna,oui,1,1.0,"Almanach du commerce de Paris, pour l'An IX.",1,137,484,[1],348,348,57,,https://gallica.bnf.fr/ark:/12148/bpt6k124552s,/f,-2.0,,Duverneuil_et_La_Tynna,3,"Almanach du commerce de Paris, pour l'an IX de la République française",10902:Duverneuil_et_La_Tynna,1.0,1,"Duverneuil_et_La_Tynna_1800, ListProfs (vues 137-484, code: ListProfs_tynna), cf: https://gallica.bnf.fr/ark:/12148/bpt6k124552s/f135",ListProfs-p1,Duverneuil_et_La_Tynna_1800_ex1_ListProfs-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Duverneuil_et_La_Tynna_1800,and(page.gte.0137,page.lte.0484))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/AlmComm/Duverneuil_et_La_Tynna/Duverneuil_et_La_Tynna_1800/ListProfs/part_0/manifest.json
Duverneuil_et_La_Tynna_1800,Duverneuil_et_La_Tynna_1800,AlmComm,1800,ListNoms,ListNoms_tynna_noncomm,oui,1,1.0,Adresses particulières de citoyens non commerçans.,1,485,549,349,413,65,58,,https://gallica.bnf.fr/ark:/12148/bpt6k124552s,/f,-2.0,,Duverneuil_et_La_Tynna,3,"Almanach du commerce de Paris, pour l'an IX de la République française",10902:Duverneuil_et_La_Tynna,1.0,1,"Duverneuil_et_La_Tynna_1800, ListNoms (vues 485-549, code: ListNoms_tynna_noncomm), cf: https://gallica.bnf.fr/ark:/12148/bpt6k124552s/f483",ListNoms-p1,Duverneuil_et_La_Tynna_1800_ex1_ListNoms-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Duverneuil_et_La_Tynna_1800,and(page.gte.0485,page.lte.0549))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/AlmComm/Duverneuil_et_La_Tynna/Duverneuil_et_La_Tynna_1800/ListNoms/part_0/manifest.json
Duverneuil_et_La_Tynna_1801,Duverneuil_et_La_Tynna_1801,AlmComm,1801,ListProfs,ListProfs_tynna,oui,1,1.0,"Almanach du commerce de Paris, pour l'An X.",1,137,409,[1],273,273,64,,https://gallica.bnf.fr/ark:/12148/bpt6k1175057p,/f,-2.0,,Duverneuil_et_La_Tynna,4,"Almanach du commerce de Paris, pour l'an X de la République française",10902:Duverneuil_et_La_Tynna,1.0,1,"Duverneuil_et_La_Tynna_1801, ListProfs (vues 137-409, code: ListProfs_tynna), cf: https://gallica.bnf.fr/ark:/12148/bpt6k1175057p/f135",ListProfs-p1,Duverneuil_et_La_Tynna_1801_ex1_ListProfs-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Duverneuil_et_La_Tynna_1801,and(page.gte.0137,page.lte.0409))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/AlmComm/Duverneuil_et_La_Tynna/Duverneuil_et_La_Tynna_1801/ListProfs/part_0/manifest.json
Duverneuil_et_La_Tynna_1801,Duverneuil_et_La_Tynna_1801,AlmComm,1801,ListNoms,ListNoms_tynna_noncomm,oui,1,1.0,Adresses particulières de citoyens non commerçans.,1,411,465,275,329,55,65,,https://gallica.bnf.fr/ark:/12148/bpt6k1175057p,/f,-2.0,,Duverneuil_et_La_Tynna,4,"Almanach du commerce de Paris, pour l'an X de la République française",10902:Duverneuil_et_La_Tynna,1.0,1,"Duverneuil_et_La_Tynna_1801, ListNoms (vues 411-465, code: ListNoms_tynna_noncomm), cf: https://gallica.bnf.fr/ark:/12148/bpt6k1175057p/f409",ListNoms-p1,Duverneuil_et_La_Tynna_1801_ex1_ListNoms-p1,"https://api.geohistoricaldata.org/directories/entries?and=(source.eq.Duverneuil_et_La_Tynna_1801,and(page.gte.0411,page.lte.0465))&order=page.asc,id.asc",https://directory.geohistoricaldata.org/?manifest=https://directory.geohistoricaldata.org/iiif/AlmComm/Duverneuil_et_La_Tynna/Duverneuil_et_La_Tynna_1801/ListNoms/part_0/manifest.json
