code_fichier,annee_deb,annee_fin,corpus SODUCO,coll_nt,collection,coll_titre,serie_nt,serie,Série_titre,code_ouvrage,Note_tableau_overleaf,partie,volume,exemplaire,code_exemplaire,ref_ouvrage_ouinon,titre ouvrage,source_in_title,source_in_resources,Version_num_ftpign,Vnum_lien_Gallica,Vnum_lien_retronews,Vnum_autre_source,Vnum_autre_source_lien,link,overview,titre_complement,contenant,redacteur,lieu_redac,format,prix,imprimeur,chez,sourcecoll,ScanBN,Notice BNF,archives,nl
Alm_dep_paris_1791,1791,,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,Almanach du département de la Seine,10501:Alm_dep_paris,Alm_dep_paris,Almanach général du département de Paris,Alm_dep_paris_1791,3.0,,,ex1,Alm_dep_paris_1791_ex1,oui,Almanach général du département de Paris pour l'année 1791,Exemplaire BnF,BnF,ok,https://gallica.bnf.fr/ark:/12148/bpt6k400881/,,,,https://gallica.bnf.fr/ark:/12148/bpt6k400881/,https://gallica.bnf.fr/ark:/12148/bpt6k400881.lowres,"Dédié à M. Bailly, Maire. Premier janvier 1791.",,,"A Paris, Chez Le Rédacteur, rue Dauphine, n. 113",,,"Imprimerie de Devaux, A Paris, rue de Chartres, n. 67 (libraire au Palais Royal, n. 185)","Chez Beuvin, libraire au Palais Royal, arcades de bois, n. 166",,oui,http://catalogue.bnf.fr/ark:/12148/cb37249157x,,1.0
Alm_dep_paris_1791_ex2,1791,,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10501:Alm_dep_paris,Alm_dep_paris,,Alm_dep_paris_1791,2.0,,,ex2,Alm_dep_paris_1791_ex2,,,"Exemplaire The British Library, 2013","The British Library, 2013",ok,,,"The British Library, 2013",https://books.google.fr/books?id=Xz1YAAAAcAAJ,https://books.google.fr/books?id=Xz1YAAAAcAAJ,https://books.google.fr/books?id=Xz1YAAAAcAAJ&printsec=frontcover&img=1,,,,,,,,,,,,,2.0
Alm_dep_seine_1797,1797,1798.0,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10502:Alm_dep_seine,Alm_dep_seine,Almanach du département de la Seine,Alm_dep_seine_1798,0.0,,,ex1,Alm_dep_seine_1798_ex1,oui,"Almanach du département de la Seine, pour l'an An VI de la République française",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,"contenant tous les détails relatifs aux premières autorités constituées de la République, ayant leur résidence à Paris, le Corps législatif, le Directoire, le Tribunal de cassation, etc. à celles du département de la Seine, et des 17 cantons qui forment son arrondissement ... : présenté et approuvé par l'administration centrale du département : ouvrage utile aux citoyens de tous les départemens.  Présenté par le citoyen Perrin à l'administration centrale du département, d'après l'extrait des registres du 12 brumaire an 6 reproduit dans les pages liminaires",,,"Chez Lefort, libraire",in-12,,"A Paris : chez Moutardier, imprimeur",,,oui,https://catalogue.bnf.fr/ark:/12148/cb32688546z,,3.0
Alm_dep_seine_1798,1798,1799.0,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10502:Alm_dep_seine,Alm_dep_seine,,Alm_dep_seine_1799,0.0,,,ex1,Alm_dep_seine_1799_ex1,oui,"Almanach du département de la Seine, pour l'an An VII de la République française",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,"contenant tous les détails relatifs aux premières autorités constituées de la République, ayant leur résidence à Paris, le Corps législatif, le Directoire, le Tribunal de cassation, etc. à celles du département de la Seine, et des 17 cantons qui forment son arrondissement ... : présenté et approuvé par l'administration centrale du département : ouvrage utile aux citoyens de tous les départemens",,,"Chez Lefort, libraire",in-12,,"A Paris : chez Moutardier, imprimeur",,,oui,https://catalogue.bnf.fr/ark:/12148/cb32688546z,,4.0
Alm_dep_seine_1799,1799,1800.0,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10502:Alm_dep_seine,Alm_dep_seine,,Alm_dep_seine_1800,0.0,,,ex1,Alm_dep_seine_1800_ex1,oui,"Almanach du département de la Seine, pour l'an An VIII de la République française",Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,"contenant tous les détails relatifs aux premières autorités constituées de la République, ayant leur résidence à Paris, le Corps législatif, le Directoire, le Tribunal de cassation, etc. à celles du département de la Seine, et des 17 cantons qui forment son arrondissement ... : présenté et approuvé par l'administration centrale du département : ouvrage utile aux citoyens de tous les départemens",,,"Chez Lefort, libraire",in-12,,"A Paris : chez Moutardier, imprimeur",,,oui,https://catalogue.bnf.fr/ark:/12148/cb32688546z,,5.0
Ann_dep_seine_1804,1804,,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10503:Ann_dep_seine,Ann_dep_seine,Annuaire administratif et statistique du département de la Seine,Ann_dep_seine_1804,0.0,,,ex1,Ann_dep_seine_1804_ex1,oui,Annuaire administratif et statistique du département de la Seine pour l'année 1804,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,Par P. J. H. Allard,Paris,In-16,,,,,oui,https://catalogue.bnf.fr/ark:/12148/cb36335458z,,6.0
Ann_dep_seine_1805,1805,,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10503:Ann_dep_seine,Ann_dep_seine,,Ann_dep_seine_1805,0.0,,,ex1,Ann_dep_seine_1805_ex1,oui,Annuaire administratif et statistique du département de la Seine pour l'an XIII-1805,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,Par P. J. H. Allard,Paris : Lenormand,In-8,,"A Paris, Chez l'auteur, Lenormant, Magimel, Rondonneau","Paris, à l'imprimerie bibliographique",,oui,https://catalogue.bnf.fr/ark:/12148/cb36335458z,,7.0
Ann_dep_seine_1806,1806,,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10503:Ann_dep_seine,Ann_dep_seine,,Ann_dep_seine_1806,0.0,,,ex1,Ann_dep_seine_1806_ex1,oui,Annuaire administratif et statistique du département de la Seine pour l'année 1806,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,Par P. J. H. Allard,Paris,In-8,,"A Paris, Chez l'auteur, Lenormant, Magimel, Rondonneau","Paris, à l'imprimerie bibliographique",,oui,https://catalogue.bnf.fr/ark:/12148/cb317116255,,8.0
Ann_dep_seine_1807,1807,,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10503:Ann_dep_seine,Ann_dep_seine,,Ann_dep_seine_1807,0.0,,,ex1,Ann_dep_seine_1807_ex1,oui,Annuaire ou Almanach de Paris et du département de la Seine pour l'année 1807,Aucun exemplaire numérique trouvé dans le cadre du projet.,,non,,,,,,,,,Par P. J. H. Allard,Paris,In-8,,,"Paris, de l'imprimerie bibliographique",,oui,https://catalogue.bnf.fr/ark:/12148/cb317116255,,9.0
Ann_dep_seine_1808,1808,,00_corpus,10500:Alm_dep_seine,Alm_dep_seine,,10503:Ann_dep_seine,Ann_dep_seine,,Ann_dep_seine_1808,4.0,,,ex1,Ann_dep_seine_1808_ex1,oui,"Almanach de Paris, capitale d'Empire, et annuaire [administratif et statistique] du département de la Seine pour l'année 1808",Exemplaire BnF,BnF,ok,https://gallica.bnf.fr/ark:/12148/bpt6k6513669p,,,,https://gallica.bnf.fr/ark:/12148/bpt6k6513669p,https://gallica.bnf.fr/ark:/12148/bpt6k6513669p.lowres,"contenant tous les détails relatifs aux premières autorités constituées de la République, ayant leur résidence à Paris, le Corps législatif, le Directoire, le Tribunal de cassation, etc. à celles du département de la Seine, et des 17 cantons qui forment son arrondissement ... : présenté et approuvé par l'administration centrale du département : ouvrage utile aux citoyens de tous les départemens",,"Par P. J. H. Allard, membre du collège électoral du Département de Seine-et-Oise, Inspecteur des Contributions du Département de la Seine.",,In-18,"3 fr. broché, 3 fr. 75 cent. Relié, et 3 fr. 75 cent.  Broché pour les Départemens.","A Paris, de l'Imprimerie de la compagnie des notaires",,,non,http://catalogue.bnf.fr/ark:/12148/cb31711624t ,,10.0
