yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
directory_file,bcbab6ce-b029-4b91-8d15-e1ac59593c46,/tmp/tmpyr6_ad0f/directory_file.xml,"{""uuid"": ""directory_file""}"
Collection:AlmComm,360c61ba-669b-4d67-b7fe-b1400740547f,/tmp/tmpyr6_ad0f/Collection:AlmComm.xml,"{""uuid"": ""Collection:AlmComm"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:AlmParisien,60c752ff-e80d-425a-b7de-6da6330abff0,/tmp/tmpyr6_ad0f/Collection:AlmParisien.xml,"{""uuid"": ""Collection:AlmParisien"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Alm_dep_seine,518e63c8-69ab-4e10-8c52-d33f48d18df3,/tmp/tmpyr6_ad0f/Collection:Alm_dep_seine.xml,"{""uuid"": ""Collection:Alm_dep_seine"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Alm_marchands,ca5fe3a7-05f1-4a38-946f-fd68737e326a,/tmp/tmpyr6_ad0f/Collection:Alm_marchands.xml,"{""uuid"": ""Collection:Alm_marchands"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Alm_paris,89037d65-a636-4298-acb0-5655702d3a3b,/tmp/tmpyr6_ad0f/Collection:Alm_paris.xml,"{""uuid"": ""Collection:Alm_paris"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Alm_portatif,90031a8a-2c96-4b5f-9fe2-7267a2d290cf,/tmp/tmpyr6_ad0f/Collection:Alm_portatif.xml,"{""uuid"": ""Collection:Alm_portatif"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Almgene,9703f03c-95b3-404b-a02f-bef8f4cb1727,/tmp/tmpyr6_ad0f/Collection:Almgene.xml,"{""uuid"": ""Collection:Almgene"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Bazar,e1d35455-b6f9-48c6-ad20-92e7a18f30cf,/tmp/tmpyr6_ad0f/Collection:Bazar.xml,"{""uuid"": ""Collection:Bazar"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Bresson,7aee3226-5efb-4cb1-b588-c2e3ace50cb5,/tmp/tmpyr6_ad0f/Collection:Bresson.xml,"{""uuid"": ""Collection:Bresson"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Cambon1,2133aa05-c1d6-4cb7-8f35-08c76971daa9,/tmp/tmpyr6_ad0f/Collection:Cambon1.xml,"{""uuid"": ""Collection:Cambon1"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Cambon2,d72ca6fa-4035-4736-8a1c-cd84b361eceb,/tmp/tmpyr6_ad0f/Collection:Cambon2.xml,"{""uuid"": ""Collection:Cambon2"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Deflandre,1df8ad82-fe38-426f-bbc1-50b370227140,/tmp/tmpyr6_ad0f/Collection:Deflandre.xml,"{""uuid"": ""Collection:Deflandre"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Deflandre_notables,8e7b06ec-01bb-4b2b-910a-d7e09924b256,/tmp/tmpyr6_ad0f/Collection:Deflandre_notables.xml,"{""uuid"": ""Collection:Deflandre_notables"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Dic_poche_adresses,1b34dfac-5f24-4e9b-b711-1488ba8d811c,/tmp/tmpyr6_ad0f/Collection:Dic_poche_adresses.xml,"{""uuid"": ""Collection:Dic_poche_adresses"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Didot,cd40dcd0-1458-45fb-94bf-abc77f972a26,/tmp/tmpyr6_ad0f/Collection:Didot.xml,"{""uuid"": ""Collection:Didot"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:DidotBottin,0939a70b-6674-449d-b90f-be6e5ce2d009,/tmp/tmpyr6_ad0f/Collection:DidotBottin.xml,"{""uuid"": ""Collection:DidotBottin"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Favre_et_Duchesne,04991a23-2b99-4929-8f54-46b2e0a311c5,/tmp/tmpyr6_ad0f/Collection:Favre_et_Duchesne.xml,"{""uuid"": ""Collection:Favre_et_Duchesne"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Notables_commercants,9730bfb8-9387-43a1-88c2-ee68141aa66b,/tmp/tmpyr6_ad0f/Collection:Notables_commercants.xml,"{""uuid"": ""Collection:Notables_commercants"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Notables_communaux_seine,7ceacb53-d56b-45e1-b1b8-4cb7e7e21597,/tmp/tmpyr6_ad0f/Collection:Notables_communaux_seine.xml,"{""uuid"": ""Collection:Notables_communaux_seine"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Panckoucke_Comm,4e39924b-05a7-4b17-a307-54b1d496b569,/tmp/tmpyr6_ad0f/Collection:Panckoucke_Comm.xml,"{""uuid"": ""Collection:Panckoucke_Comm"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Panckoucke_hab,e092bd3f-715b-4f4b-a402-37d947daa897,/tmp/tmpyr6_ad0f/Collection:Panckoucke_hab.xml,"{""uuid"": ""Collection:Panckoucke_hab"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Paris_Hachette,49811534-bdaf-4fa0-ac8e-9c2705f65a74,/tmp/tmpyr6_ad0f/Collection:Paris_Hachette.xml,"{""uuid"": ""Collection:Paris_Hachette"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Paris_adresses,2d0e0638-7198-453b-8016-7f151ae7d05a,/tmp/tmpyr6_ad0f/Collection:Paris_adresses.xml,"{""uuid"": ""Collection:Paris_adresses"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:Watin,1fa92932-37c7-4105-ad9a-6d323e3d13e3,/tmp/tmpyr6_ad0f/Collection:Watin.xml,"{""uuid"": ""Collection:Watin"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Collection:alm_Chantoiseau,05f9312c-5995-4ffa-b362-5ed8602dadb0,/tmp/tmpyr6_ad0f/Collection:alm_Chantoiseau.xml,"{""uuid"": ""Collection:alm_Chantoiseau"", ""associatedResource"": [{""value"": ""directory_file"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm45000,e8660383-93b4-476a-9cb0-2b1fae8ea0ab,/tmp/tmpyr6_ad0f/Serie:Alm45000.xml,"{""uuid"": ""Serie:Alm45000"", ""associatedResource"": [{""value"": ""Collection:Cambon1"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:AlmGene_Lutton,fd9e9418-0e0c-46ea-bc07-9c0e34cf5127,/tmp/tmpyr6_ad0f/Serie:AlmGene_Lutton.xml,"{""uuid"": ""Serie:AlmGene_Lutton"", ""associatedResource"": [{""value"": ""Collection:Almgene"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:AlmGene_Sibille,d84c2668-c2fe-466e-a4cc-9bf22d8761f4,/tmp/tmpyr6_ad0f/Serie:AlmGene_Sibille.xml,"{""uuid"": ""Serie:AlmGene_Sibille"", ""associatedResource"": [{""value"": ""Collection:Almgene"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:AlmGene_Terzuolo,1d154e20-3fdd-4623-8116-e3d69d283220,/tmp/tmpyr6_ad0f/Serie:AlmGene_Terzuolo.xml,"{""uuid"": ""Serie:AlmGene_Terzuolo"", ""associatedResource"": [{""value"": ""Collection:Almgene"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:AlmGene_Uturbie,9be82594-110c-44e6-b4d7-e941294885e4,/tmp/tmpyr6_ad0f/Serie:AlmGene_Uturbie.xml,"{""uuid"": ""Serie:AlmGene_Uturbie"", ""associatedResource"": [{""value"": ""Collection:Almgene"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:AlmParisien,dabf6959-6ee0-41c9-8b35-6c6eff5ea196,/tmp/tmpyr6_ad0f/Serie:AlmParisien.xml,"{""uuid"": ""Serie:AlmParisien"", ""associatedResource"": [{""value"": ""Collection:AlmParisien"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_dep_paris,5f164706-afbe-4aab-aa00-0fa1cc4e7046,/tmp/tmpyr6_ad0f/Serie:Alm_dep_paris.xml,"{""uuid"": ""Serie:Alm_dep_paris"", ""associatedResource"": [{""value"": ""Collection:Alm_dep_seine"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_dep_seine,59d5e2ce-eb46-4dc2-bcdd-a00a9d05732b,/tmp/tmpyr6_ad0f/Serie:Alm_dep_seine.xml,"{""uuid"": ""Serie:Alm_dep_seine"", ""associatedResource"": [{""value"": ""Collection:Alm_dep_seine"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_marchands1,dd94aee5-d286-4a63-82dd-c74041635c7c,/tmp/tmpyr6_ad0f/Serie:Alm_marchands1.xml,"{""uuid"": ""Serie:Alm_marchands1"", ""associatedResource"": [{""value"": ""Collection:Alm_marchands"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_marchands2,653e33ac-4233-4436-9694-3b4ad20d8d1e,/tmp/tmpyr6_ad0f/Serie:Alm_marchands2.xml,"{""uuid"": ""Serie:Alm_marchands2"", ""associatedResource"": [{""value"": ""Collection:Alm_marchands"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_paris1,fa4a2090-d8d2-409a-9bc3-d610403a663f,/tmp/tmpyr6_ad0f/Serie:Alm_paris1.xml,"{""uuid"": ""Serie:Alm_paris1"", ""associatedResource"": [{""value"": ""Collection:Alm_paris"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_paris2,ad7a1863-9299-4f0d-b2e5-1158d823c183,/tmp/tmpyr6_ad0f/Serie:Alm_paris2.xml,"{""uuid"": ""Serie:Alm_paris2"", ""associatedResource"": [{""value"": ""Collection:Alm_paris"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_paris_ci_devant_nobles,149ae337-d4d5-4f03-87b3-4eceed7969e1,/tmp/tmpyr6_ad0f/Serie:Alm_paris_ci_devant_nobles.xml,"{""uuid"": ""Serie:Alm_paris_ci_devant_nobles"", ""associatedResource"": [{""value"": ""Collection:Alm_paris"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_paris_deputes,1722c2dc-e8fc-4dea-bed6-165f00615a46,/tmp/tmpyr6_ad0f/Serie:Alm_paris_deputes.xml,"{""uuid"": ""Serie:Alm_paris_deputes"", ""associatedResource"": [{""value"": ""Collection:Alm_paris"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_portatif,c360f72c-910a-47e6-afa0-66739618e578,/tmp/tmpyr6_ad0f/Serie:Alm_portatif.xml,"{""uuid"": ""Serie:Alm_portatif"", ""associatedResource"": [{""value"": ""Collection:Alm_portatif"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Alm_portatif_comm,cc97bc2d-c5c9-4050-bc69-2c05c9dea879,/tmp/tmpyr6_ad0f/Serie:Alm_portatif_comm.xml,"{""uuid"": ""Serie:Alm_portatif_comm"", ""associatedResource"": [{""value"": ""Collection:Alm_portatif"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Ann_dep_seine,2183e477-813f-4655-97c1-277c8b87f11c,/tmp/tmpyr6_ad0f/Serie:Ann_dep_seine.xml,"{""uuid"": ""Serie:Ann_dep_seine"", ""associatedResource"": [{""value"": ""Collection:Alm_dep_seine"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Bazar,026c9539-343f-4422-8505-17d114bda0cd,/tmp/tmpyr6_ad0f/Serie:Bazar.xml,"{""uuid"": ""Serie:Bazar"", ""associatedResource"": [{""value"": ""Collection:Bazar"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Bottin1,cfd1cb58-78d2-4086-a176-44948c367ea5,/tmp/tmpyr6_ad0f/Serie:Bottin1.xml,"{""uuid"": ""Serie:Bottin1"", ""associatedResource"": [{""value"": ""Collection:AlmComm"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Bottin2,eaeeb820-2ef9-459b-9826-1da63b787dbe,/tmp/tmpyr6_ad0f/Serie:Bottin2.xml,"{""uuid"": ""Serie:Bottin2"", ""associatedResource"": [{""value"": ""Collection:AlmComm"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Bottin3,72e9257e-46a1-418c-8dcd-cb3a2f63b15d,/tmp/tmpyr6_ad0f/Serie:Bottin3.xml,"{""uuid"": ""Serie:Bottin3"", ""associatedResource"": [{""value"": ""Collection:AlmComm"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Bresson,df01bd84-0016-4946-bfa9-b428c3c65b2a,/tmp/tmpyr6_ad0f/Serie:Bresson.xml,"{""uuid"": ""Serie:Bresson"", ""associatedResource"": [{""value"": ""Collection:Bresson"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
Serie:Cambon_AlmFabricans,3e6a0117-cff2-4dcc-9940-49c1b98c3cbd,/tmp/tmpyr6_ad0f/Serie:Cambon_AlmFabricans.xml,"{""uuid"": ""Serie:Cambon_AlmFabricans"", ""associatedResource"": [{""value"": ""Collection:Cambon2"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
