yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
JacoubetFile,69f12d78-25b4-447d-a0ba-2ff77acd010f,/tmp/tmpornm1ela/JacoubetFile.xml,"{""uuid"": ""69f12d78-25b4-447d-a0ba-2ff77acd010f""}"
AtlasJacoubet_1836,a21eee77-2840-4fa3-a625-628f5f87d9cc,/tmp/tmpornm1ela/AtlasJacoubet_1836.xml,"{""uuid"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""associatedResource"": [{""value"": ""69f12d78-25b4-447d-a0ba-2ff77acd010f"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_03,b0fbd050-e2a3-4941-bbff-93701817c30d,/tmp/tmpornm1ela/AtlasJacoubet_1836_03.xml,"{""uuid"": ""b0fbd050-e2a3-4941-bbff-93701817c30d"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_04,9a755476-085f-46b8-93d1-76cea7884fc2,/tmp/tmpornm1ela/AtlasJacoubet_1836_04.xml,"{""uuid"": ""9a755476-085f-46b8-93d1-76cea7884fc2"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_05,474504e2-bb6a-44d4-b4c5-c0598874e45e,/tmp/tmpornm1ela/AtlasJacoubet_1836_05.xml,"{""uuid"": ""474504e2-bb6a-44d4-b4c5-c0598874e45e"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_06,a3f4369d-8aea-4180-bcfa-f19d9f6e83a1,/tmp/tmpornm1ela/AtlasJacoubet_1836_06.xml,"{""uuid"": ""a3f4369d-8aea-4180-bcfa-f19d9f6e83a1"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_07,3fc6d6f2-e0eb-4dc3-af40-92a067b7dd15,/tmp/tmpornm1ela/AtlasJacoubet_1836_07.xml,"{""uuid"": ""3fc6d6f2-e0eb-4dc3-af40-92a067b7dd15"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_10,806254c3-fb0b-4fa9-85f4-1f4f339bad62,/tmp/tmpornm1ela/AtlasJacoubet_1836_10.xml,"{""uuid"": ""806254c3-fb0b-4fa9-85f4-1f4f339bad62"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_11,ab7bc481-f757-4e0e-99bb-1222a966d8d0,/tmp/tmpornm1ela/AtlasJacoubet_1836_11.xml,"{""uuid"": ""ab7bc481-f757-4e0e-99bb-1222a966d8d0"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasJacoubet_1836_12,d6f544ab-d43f-47b3-8063-d82aaa34cb0d,/tmp/tmpornm1ela/AtlasJacoubet_1836_12.xml,"{""uuid"": ""d6f544ab-d43f-47b3-8063-d82aaa34cb0d"", ""associatedResource"": [{""value"": ""a21eee77-2840-4fa3-a625-628f5f87d9cc"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
