yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
TITLE,49bc23fc-57e2-5579-a6e5-c10d6c039866,/tmp/tmpk1dmssts/TITLE.xml,"{""uuid"": ""49bc23fc-57e2-5579-a6e5-c10d6c039866""}"
TA,686702ae-b316-54e6-afc6-d22463231812,/tmp/tmpk1dmssts/TA.xml,"{""uuid"": ""686702ae-b316-54e6-afc6-d22463231812""}"
1,bf9fe6a8-d443-517f-aab9-8645942df035,/tmp/tmpk1dmssts/1.xml,"{""uuid"": ""bf9fe6a8-d443-517f-aab9-8645942df035""}"
2,530f69e1-a566-51d7-9d91-eb616ae0008e,/tmp/tmpk1dmssts/2.xml,"{""uuid"": ""530f69e1-a566-51d7-9d91-eb616ae0008e""}"
3,c2bf7a54-14eb-5550-93da-d9328b1aee00,/tmp/tmpk1dmssts/3.xml,"{""uuid"": ""c2bf7a54-14eb-5550-93da-d9328b1aee00""}"
4,d65c6038-82f8-5ba0-b49e-3068f0374868,/tmp/tmpk1dmssts/4.xml,"{""uuid"": ""d65c6038-82f8-5ba0-b49e-3068f0374868""}"
5,77a87c71-9820-53d0-b133-5d319e9cdf76,/tmp/tmpk1dmssts/5.xml,"{""uuid"": ""77a87c71-9820-53d0-b133-5d319e9cdf76""}"
6,1c12fe76-9101-5c2b-bc4f-ed7413197cd9,/tmp/tmpk1dmssts/6.xml,"{""uuid"": ""1c12fe76-9101-5c2b-bc4f-ed7413197cd9""}"
7,d8ca2052-b949-5309-beeb-9ae3d4214b57,/tmp/tmpk1dmssts/7.xml,"{""uuid"": ""d8ca2052-b949-5309-beeb-9ae3d4214b57""}"
8,2d406e8d-047e-5596-b473-5e8e4449d9ec,/tmp/tmpk1dmssts/8.xml,"{""uuid"": ""2d406e8d-047e-5596-b473-5e8e4449d9ec""}"
9,e9329328-a19f-5376-a02e-aaf588a819c0,/tmp/tmpk1dmssts/9.xml,"{""uuid"": ""e9329328-a19f-5376-a02e-aaf588a819c0""}"
10,398ff1bc-822f-5311-90ba-64e32b0e9771,/tmp/tmpk1dmssts/10.xml,"{""uuid"": ""398ff1bc-822f-5311-90ba-64e32b0e9771""}"
11,f6fcc478-195a-50c2-8f66-0fcf281b904c,/tmp/tmpk1dmssts/11.xml,"{""uuid"": ""f6fcc478-195a-50c2-8f66-0fcf281b904c""}"
