sheet,points,geotiff,annotation_file,iiif_manifest,overview,native
TITLE,,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f1,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f1.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f1/full/full/0/native.jpg
TA,,,,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f2,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f2.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f2/full/full/0/native.jpg
1,https://dataverse.harvard.edu/api/access/datafile/7002512,https://dataverse.harvard.edu/api/access/datafile/7002793,https://dataverse.harvard.edu/api/access/datafile/7002806,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f3,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f3.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f3/full/full/0/native.jpg
2,https://dataverse.harvard.edu/api/access/datafile/7002761,https://dataverse.harvard.edu/api/access/datafile/7002552,https://dataverse.harvard.edu/api/access/datafile/7002740,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f4,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f4.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f4/full/full/0/native.jpg
3,https://dataverse.harvard.edu/api/access/datafile/7002687,https://dataverse.harvard.edu/api/access/datafile/7002523,https://dataverse.harvard.edu/api/access/datafile/7002461,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f5,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f5.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f5/full/full/0/native.jpg
4,https://dataverse.harvard.edu/api/access/datafile/7002878,https://dataverse.harvard.edu/api/access/datafile/7002630,https://dataverse.harvard.edu/api/access/datafile/7002551,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f6,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f6.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f6/full/full/0/native.jpg
5,https://dataverse.harvard.edu/api/access/datafile/7002748,https://dataverse.harvard.edu/api/access/datafile/7002583,https://dataverse.harvard.edu/api/access/datafile/7002785,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f7,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f7.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f7/full/full/0/native.jpg
6,https://dataverse.harvard.edu/api/access/datafile/7002509,https://dataverse.harvard.edu/api/access/datafile/7002755,https://dataverse.harvard.edu/api/access/datafile/7002744,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f8,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f8.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f8/full/full/0/native.jpg
7,https://dataverse.harvard.edu/api/access/datafile/7002773,https://dataverse.harvard.edu/api/access/datafile/7002584,https://dataverse.harvard.edu/api/access/datafile/7002771,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f9,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f9.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f9/full/full/0/native.jpg
8,https://dataverse.harvard.edu/api/access/datafile/7002819,https://dataverse.harvard.edu/api/access/datafile/7002467,https://dataverse.harvard.edu/api/access/datafile/7002732,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f10,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f10.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f10/full/full/0/native.jpg
9,https://dataverse.harvard.edu/api/access/datafile/7002500,https://dataverse.harvard.edu/api/access/datafile/7002672,https://dataverse.harvard.edu/api/access/datafile/7002547,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f11,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f11.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f11/full/full/0/native.jpg
10,https://dataverse.harvard.edu/api/access/datafile/7002548,https://dataverse.harvard.edu/api/access/datafile/7002573,https://dataverse.harvard.edu/api/access/datafile/7002471,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f12,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f12.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f12/full/full/0/native.jpg
11,https://dataverse.harvard.edu/api/access/datafile/7002726,https://dataverse.harvard.edu/api/access/datafile/7002463,https://dataverse.harvard.edu/api/access/datafile/7002674,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f13,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f13.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f13/full/full/0/native.jpg
12,https://dataverse.harvard.edu/api/access/datafile/7002581,https://dataverse.harvard.edu/api/access/datafile/7002873,https://dataverse.harvard.edu/api/access/datafile/7002747,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f14,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f14.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f14/full/full/0/native.jpg
