identifier,type,source,date_start,date_end,title,abstract,min_x,min_y,max_x,max_y,notice,resource_numerisee,oai-pmh,points,geotiff,annotation_file,iiif_manifest,overview,native,wms_id,largerWorkCitation,resourceLineage,
VerniquetFile,file,,1780,1799,Dossier Verniquet,Dossier dédié à l’Atlas du plan général de la ville de Paris sous la direction d’Edmé Verniquet,-2000,-600,2600,3000,,,,,,,,,,,,,
VerniquetPlanGeneral,record,,1780,1798,Plan général de la Ville de Paris,"Plan de la ville de Paris, avec sa nouvelle enceinte, levé géométriquement sur la Méridienne de l'Observatoire par le C[itoy]en [Edme] Verniquet. Parachevé en 1791. Dessiné et gravé [an II - VII] par les Cens P.[aul] T.[homas] Bartholomé et A.[ntoine] J.[oseph] Mathieu. Ecrit par [Pierre Toussaint] Bellanger. Rapporté sur une Echelle d'une demie ligne pour toise. Divisé en 72 Planches, Compris les Cartouches et Plan des opérations Trigonométriques, l'an IV, s.l. [A Paris, de l'impr. de H.[enri]-L.[ouis] Perronneau / chez l'Auteur, rue de l'Auratoire, N°. 146, maison d'Angevilliers / au Louvre], n.d. [1793-1799], 72 pl. [66 x 44 et 44 x 44 cm] gr. in-fol. Plano.",-2000,-600,2600,3000,,,,,,,,,,,VerniquetFile,,
AtlasVerniquet,recordset,,1784,1799,Atlas du plan général de la Ville de Paris,Atlas du plan général de la ville de Paris. Levé géometriquement par le C[itoy]en Verniquet. Rapporté sur une eschelle d'une demie ligne pour toise. Divisé en 72 Planches compris les cartouches et plan des opérations trigonométriques. Dessiné et gravé par les C[itoy]ens Batholomé et Mathieu. L'an IV. Gravé sur cuivre à partir du plan général de la Ville de Paris,-2000,-600,2600,3000,,,,,,,,,,,VerniquetFile,VerniquetPlanGeneral,
AtlasVerniquet_titre,record,,1784,1799,Page de titre,"Atlas du plan général de la Ville de Paris, Page de titre",-2000,-600,2600,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_assemblage,record,,1784,1799,Carte d'assemblage,"Atlas du plan général de la Ville de Paris, Carte d'assemblage",-2000,-600,2600,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_01,record,,1784,1799,Feuille N.[uméro] 01,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 01",-2000,2600,-1600,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_02,record,,1784,1799,Feuille N.[uméro] 02,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 02",-1600,2600,-1000,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_03,record,,1784,1799,Feuille N.[uméro] 03,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 03",-1000,2600,-400,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_04,record,,1784,1799,Feuille N.[uméro] 04,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 04",-400,2600,200,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_05,record,,1784,1799,Feuille N.[uméro] 05,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 05",200,2600,800,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_06,record,,1784,1799,Feuille N.[uméro] 06,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 06",800,2600,1400,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_07,record,,1784,1799,Feuille N.[uméro] 07,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 07",1400,2600,2000,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_08,record,,1784,1799,Feuille N.[uméro] 08,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 08",2000,2600,2600,3000,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_09,record,,1784,1799,Feuille N.[uméro] 09,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 09",-2000,2200,-1600,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_10,record,,1784,1799,Feuille N.[uméro] 10,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 10",-1600,2200,-1000,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_11,record,,1784,1799,Feuille N.[uméro] 11,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 11",-1000,2200,-400,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_12,record,,1784,1799,Feuille N.[uméro] 12,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 12",-400,2200,200,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_13,record,,1784,1799,Feuille N.[uméro] 13,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 13",200,2200,800,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_14,record,,1784,1799,Feuille N.[uméro] 14,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 14",800,2200,1400,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_15,record,,1784,1799,Feuille N.[uméro] 15,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 15",1400,2200,2000,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_16,record,,1784,1799,Feuille N.[uméro] 16,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 16",2000,2200,2600,2600,,,,,,,,,,,AtlasVerniquet,,
AtlasVerniquet_17,record,,1784,1799,Feuille N.[uméro] 17,"Atlas du plan général de la Ville de Paris, feuille N.[uméro] 17",-2000,1800,-1600,2200,,,,,,,,,,,AtlasVerniquet,,
