yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
VerniquetFile,96f0e063-b572-5619-b03a-60447ea6a3e6,/tmp/tmprwbwzn30/VerniquetFile.xml,"{""uuid"": ""96f0e063-b572-5619-b03a-60447ea6a3e6""}"
VerniquetPlanGeneral,49ab3239-d215-5fcd-95a5-842b01c0164b,/tmp/tmprwbwzn30/VerniquetPlanGeneral.xml,"{""uuid"": ""49ab3239-d215-5fcd-95a5-842b01c0164b"", ""associatedResource"": [{""value"": ""96f0e063-b572-5619-b03a-60447ea6a3e6"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet,e4374abb-018c-5ca3-b747-7734dae0d6c4,/tmp/tmprwbwzn30/AtlasVerniquet.xml,"{""uuid"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""resourceLineage"": [""49ab3239-d215-5fcd-95a5-842b01c0164b""]}"
AtlasVerniquet_titre,e527ace9-b1e8-5b15-b41c-4b0f8eabafbc,/tmp/tmprwbwzn30/AtlasVerniquet_titre.xml,"{""uuid"": ""e527ace9-b1e8-5b15-b41c-4b0f8eabafbc"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet_assemblage,171d113a-5de5-52ff-b3de-e88fa0d8ff48,/tmp/tmprwbwzn30/AtlasVerniquet_assemblage.xml,"{""uuid"": ""171d113a-5de5-52ff-b3de-e88fa0d8ff48"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet_01,4c2c1b61-0b09-5bba-a452-f45da0e34438,/tmp/tmprwbwzn30/AtlasVerniquet_01.xml,"{""uuid"": ""4c2c1b61-0b09-5bba-a452-f45da0e34438"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet_02,66fa9cc3-4de6-5971-9708-766572955dc8,/tmp/tmprwbwzn30/AtlasVerniquet_02.xml,"{""uuid"": ""66fa9cc3-4de6-5971-9708-766572955dc8"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet_03,4a259d00-c744-5b00-a546-b493309651ef,/tmp/tmprwbwzn30/AtlasVerniquet_03.xml,"{""uuid"": ""4a259d00-c744-5b00-a546-b493309651ef"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet_04,9e27f6ae-6d35-59b7-bde0-d810e6ec72ad,/tmp/tmprwbwzn30/AtlasVerniquet_04.xml,"{""uuid"": ""9e27f6ae-6d35-59b7-bde0-d810e6ec72ad"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet_05,ddd5540a-18d7-5584-8449-51f6e01b6c09,/tmp/tmprwbwzn30/AtlasVerniquet_05.xml,"{""uuid"": ""ddd5540a-18d7-5584-8449-51f6e01b6c09"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
AtlasVerniquet_06,428dd001-15fd-5eb4-ac7a-5700a620e3ac,/tmp/tmprwbwzn30/AtlasVerniquet_06.xml,"{""uuid"": ""428dd001-15fd-5eb4-ac7a-5700a620e3ac"", ""associatedResource"": [{""value"": ""e4374abb-018c-5ca3-b747-7734dae0d6c4"", ""typeOfAssociation"": ""largerWorkCitation""}]}"
