sheet,points,geotiff,annotation_file,iiif_manifest,overview,native
TITLE,,,,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305627~90076038,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110001.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110001.jp2
TA,,,,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305700~90076808,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110074.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110074.jp2
1,https://dataverse.harvard.edu/api/access/datafile/7002577,https://dataverse.harvard.edu/api/access/datafile/7002836,https://dataverse.harvard.edu/api/access/datafile/7002486,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305628~90076037,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110002.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110002.jp2
2,https://dataverse.harvard.edu/api/access/datafile/7002826,https://dataverse.harvard.edu/api/access/datafile/7002859,https://dataverse.harvard.edu/api/access/datafile/7002620,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305629~90076036,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110003.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110003.jp2
3,https://dataverse.harvard.edu/api/access/datafile/7002830,https://dataverse.harvard.edu/api/access/datafile/7002697,https://dataverse.harvard.edu/api/access/datafile/7002632,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305630~90076035,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110004.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110004.jp2
4,https://dataverse.harvard.edu/api/access/datafile/7002506,https://dataverse.harvard.edu/api/access/datafile/7002804,https://dataverse.harvard.edu/api/access/datafile/7002513,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305631~90076034,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110005.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110005.jp2
5,https://dataverse.harvard.edu/api/access/datafile/7002603,https://dataverse.harvard.edu/api/access/datafile/7002752,https://dataverse.harvard.edu/api/access/datafile/7002797,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305632~90076033,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110006.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110006.jp2
6,https://dataverse.harvard.edu/api/access/datafile/7002576,https://dataverse.harvard.edu/api/access/datafile/7002814,https://dataverse.harvard.edu/api/access/datafile/7002526,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305633~90076032,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110007.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110007.jp2
7,https://dataverse.harvard.edu/api/access/datafile/7002846,https://dataverse.harvard.edu/api/access/datafile/7002692,https://dataverse.harvard.edu/api/access/datafile/7002558,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305634~90076031,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110008.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110008.jp2
8,https://dataverse.harvard.edu/api/access/datafile/7002776,https://dataverse.harvard.edu/api/access/datafile/7002609,https://dataverse.harvard.edu/api/access/datafile/7002646,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305635~90076030,https://media.davidrumsey.com/MediaManager/srvr?mediafile=/Size4/RUMSEY~8~1/179/10110009.jpg,https://www.davidrumsey.com/rumsey/download.pl?image=/179/10110009.jp2
