yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
RUMSEY~8~1~305627~90076038,8fcb9a90-11b7-4b3d-aaa9-fa32feb1a554,/tmp/tmpo3oem7ys/RUMSEY~8~1~305627~90076038.xml,"{""uuid"": ""RUMSEY~8~1~305627~90076038""}"
RUMSEY~8~1~305700~90076808,75e216b2-6a6a-4121-82f6-53c7a1fb365c,/tmp/tmpo3oem7ys/RUMSEY~8~1~305700~90076808.xml,"{""uuid"": ""RUMSEY~8~1~305700~90076808""}"
RUMSEY~8~1~305628~90076037,83fa6c98-b2cf-4dc2-bfea-368e9e28ee32,/tmp/tmpo3oem7ys/RUMSEY~8~1~305628~90076037.xml,"{""uuid"": ""RUMSEY~8~1~305628~90076037""}"
RUMSEY~8~1~305629~90076036,45630461-f4b9-4d51-856e-e6908e9c4692,/tmp/tmpo3oem7ys/RUMSEY~8~1~305629~90076036.xml,"{""uuid"": ""RUMSEY~8~1~305629~90076036""}"
RUMSEY~8~1~305630~90076035,65869fa6-1be9-44b3-b535-1b3302db7a22,/tmp/tmpo3oem7ys/RUMSEY~8~1~305630~90076035.xml,"{""uuid"": ""RUMSEY~8~1~305630~90076035""}"
RUMSEY~8~1~305631~90076034,4407ab3d-6349-4135-977c-347ccee62ae1,/tmp/tmpo3oem7ys/RUMSEY~8~1~305631~90076034.xml,"{""uuid"": ""RUMSEY~8~1~305631~90076034""}"
RUMSEY~8~1~305632~90076033,5085c0c2-e614-40df-9fa0-edd91a70c5b2,/tmp/tmpo3oem7ys/RUMSEY~8~1~305632~90076033.xml,"{""uuid"": ""RUMSEY~8~1~305632~90076033""}"
RUMSEY~8~1~305633~90076032,5d3256a0-37a6-48b6-94e0-f586f10189ef,/tmp/tmpo3oem7ys/RUMSEY~8~1~305633~90076032.xml,"{""uuid"": ""RUMSEY~8~1~305633~90076032""}"
RUMSEY~8~1~305634~90076031,ad03f218-2f73-4b27-b73a-591d970cbabe,/tmp/tmpo3oem7ys/RUMSEY~8~1~305634~90076031.xml,"{""uuid"": ""RUMSEY~8~1~305634~90076031""}"
RUMSEY~8~1~305635~90076030,17cb01d8-7d67-4812-95e8-4fbaa454a20f,/tmp/tmpo3oem7ys/RUMSEY~8~1~305635~90076030.xml,"{""uuid"": ""RUMSEY~8~1~305635~90076030""}"
RUMSEY~8~1~305636~90076029,0c3767a9-886a-4270-8658-1fb65ce86804,/tmp/tmpo3oem7ys/RUMSEY~8~1~305636~90076029.xml,"{""uuid"": ""RUMSEY~8~1~305636~90076029""}"
RUMSEY~8~1~305637~90076028,23ac3877-3301-4569-8eb0-11ea0a719b75,/tmp/tmpo3oem7ys/RUMSEY~8~1~305637~90076028.xml,"{""uuid"": ""RUMSEY~8~1~305637~90076028""}"
RUMSEY~8~1~305638~90076027,5d5b0aef-4fa1-433c-977c-77d61a6710e7,/tmp/tmpo3oem7ys/RUMSEY~8~1~305638~90076027.xml,"{""uuid"": ""RUMSEY~8~1~305638~90076027""}"
RUMSEY~8~1~305639~90076026,8dcf9d90-77e3-4b12-8cb2-8a5fe79837dc,/tmp/tmpo3oem7ys/RUMSEY~8~1~305639~90076026.xml,"{""uuid"": ""RUMSEY~8~1~305639~90076026""}"
RUMSEY~8~1~305640~90076025,1c03b27e-db44-46a9-9985-94312716fc93,/tmp/tmpo3oem7ys/RUMSEY~8~1~305640~90076025.xml,"{""uuid"": ""RUMSEY~8~1~305640~90076025""}"
RUMSEY~8~1~305641~90076024,a8762d87-1901-4cd7-8d74-cdb4eb21296e,/tmp/tmpo3oem7ys/RUMSEY~8~1~305641~90076024.xml,"{""uuid"": ""RUMSEY~8~1~305641~90076024""}"
RUMSEY~8~1~305642~90076023,a21903cb-0d5f-45e4-9967-baad97c75c9a,/tmp/tmpo3oem7ys/RUMSEY~8~1~305642~90076023.xml,"{""uuid"": ""RUMSEY~8~1~305642~90076023""}"
