yaml_identifier,geonetwork_uuid,xml_file_path,postponed_values
RUMSEY~8~1~305627~90076038,b48dafdd-964e-4ee7-8375-0d1836fc31dc,/tmp/tmpx6iriir0/RUMSEY~8~1~305627~90076038.xml,"{""uuid"": ""b48dafdd-964e-4ee7-8375-0d1836fc31dc""}"
RUMSEY~8~1~305700~90076808,9db9eacd-5b1c-4f93-8feb-ec9043b952a4,/tmp/tmpx6iriir0/RUMSEY~8~1~305700~90076808.xml,"{""uuid"": ""9db9eacd-5b1c-4f93-8feb-ec9043b952a4""}"
RUMSEY~8~1~305628~90076037,7f595f14-4080-46c9-b507-4f1a26814e3d,/tmp/tmpx6iriir0/RUMSEY~8~1~305628~90076037.xml,"{""uuid"": ""7f595f14-4080-46c9-b507-4f1a26814e3d""}"
RUMSEY~8~1~305629~90076036,4a15dcf5-76f4-4099-a465-c7db93e414fb,/tmp/tmpx6iriir0/RUMSEY~8~1~305629~90076036.xml,"{""uuid"": ""4a15dcf5-76f4-4099-a465-c7db93e414fb""}"
RUMSEY~8~1~305630~90076035,725d9a1c-68a0-4e1d-a40f-51e0da14a5bd,/tmp/tmpx6iriir0/RUMSEY~8~1~305630~90076035.xml,"{""uuid"": ""725d9a1c-68a0-4e1d-a40f-51e0da14a5bd""}"
RUMSEY~8~1~305631~90076034,b9b9d176-ab6c-44da-936f-b96ce1c1ba2d,/tmp/tmpx6iriir0/RUMSEY~8~1~305631~90076034.xml,"{""uuid"": ""b9b9d176-ab6c-44da-936f-b96ce1c1ba2d""}"
RUMSEY~8~1~305632~90076033,194936f8-ea6a-401d-9e49-62d651c5f716,/tmp/tmpx6iriir0/RUMSEY~8~1~305632~90076033.xml,"{""uuid"": ""194936f8-ea6a-401d-9e49-62d651c5f716""}"
RUMSEY~8~1~305633~90076032,0c0dae2e-4369-439b-8a0e-9485e0e87537,/tmp/tmpx6iriir0/RUMSEY~8~1~305633~90076032.xml,"{""uuid"": ""0c0dae2e-4369-439b-8a0e-9485e0e87537""}"
RUMSEY~8~1~305634~90076031,9e8eeb32-a4b4-44f3-9ddb-f6407ea9e174,/tmp/tmpx6iriir0/RUMSEY~8~1~305634~90076031.xml,"{""uuid"": ""9e8eeb32-a4b4-44f3-9ddb-f6407ea9e174""}"
RUMSEY~8~1~305635~90076030,7297b370-7842-45a4-bd79-a1d2db42ed89,/tmp/tmpx6iriir0/RUMSEY~8~1~305635~90076030.xml,"{""uuid"": ""7297b370-7842-45a4-bd79-a1d2db42ed89""}"
RUMSEY~8~1~305636~90076029,258115be-e561-41d5-8265-c132943371ef,/tmp/tmpx6iriir0/RUMSEY~8~1~305636~90076029.xml,"{""uuid"": ""258115be-e561-41d5-8265-c132943371ef""}"
RUMSEY~8~1~305637~90076028,da042ae4-5047-4ad4-b36d-689802dc3ac6,/tmp/tmpx6iriir0/RUMSEY~8~1~305637~90076028.xml,"{""uuid"": ""da042ae4-5047-4ad4-b36d-689802dc3ac6""}"
RUMSEY~8~1~305638~90076027,8d364a74-b7d8-41fe-b2f5-fff4e7802293,/tmp/tmpx6iriir0/RUMSEY~8~1~305638~90076027.xml,"{""uuid"": ""8d364a74-b7d8-41fe-b2f5-fff4e7802293""}"
RUMSEY~8~1~305639~90076026,8917402c-3465-417c-b11b-38bc94e2d622,/tmp/tmpx6iriir0/RUMSEY~8~1~305639~90076026.xml,"{""uuid"": ""8917402c-3465-417c-b11b-38bc94e2d622""}"
RUMSEY~8~1~305640~90076025,a9081c99-1fbc-4a5b-9655-a2345a15f752,/tmp/tmpx6iriir0/RUMSEY~8~1~305640~90076025.xml,"{""uuid"": ""a9081c99-1fbc-4a5b-9655-a2345a15f752""}"
RUMSEY~8~1~305641~90076024,b72f3329-835a-4ae4-8b31-ccf317027c23,/tmp/tmpx6iriir0/RUMSEY~8~1~305641~90076024.xml,"{""uuid"": ""b72f3329-835a-4ae4-8b31-ccf317027c23""}"
RUMSEY~8~1~305642~90076023,a38ab36e-fbd3-4194-b85a-202924ecf457,/tmp/tmpx6iriir0/RUMSEY~8~1~305642~90076023.xml,"{""uuid"": ""a38ab36e-fbd3-4194-b85a-202924ecf457""}"
RUMSEY~8~1~305643~90076022,be5f18d8-373c-4697-af83-27dcc74b8d26,/tmp/tmpx6iriir0/RUMSEY~8~1~305643~90076022.xml,"{""uuid"": ""be5f18d8-373c-4697-af83-27dcc74b8d26""}"
RUMSEY~8~1~305644~90076021,2d123d23-bc80-4249-be6b-64b1f007e8e0,/tmp/tmpx6iriir0/RUMSEY~8~1~305644~90076021.xml,"{""uuid"": ""2d123d23-bc80-4249-be6b-64b1f007e8e0""}"
RUMSEY~8~1~305645~90076020,c9f2608f-2c77-4616-b41d-c8b036a84c55,/tmp/tmpx6iriir0/RUMSEY~8~1~305645~90076020.xml,"{""uuid"": ""c9f2608f-2c77-4616-b41d-c8b036a84c55""}"
